"country"	"year"	"continent"	"population"	"life_exp"	"gdp_per_cap"	"gini"
"Afghanistan"	1800	"asia"	3280000	28.2	603	30.5
"Albania"	1800	"europe"	410000	35.4	667	38.9
"Algeria"	1800	"africa"	2500000	28.8	715	56.2
"Angola"	1800	"africa"	1570000	27	618	57.2
"Antigua and Barbuda"	1800	"americas"	37000	33.5	757	40
"Argentina"	1800	"americas"	534000	33.2	1510	47.7
"Armenia"	1800	"europe"	413000	34	514	31.5
"Australia"	1800	"asia"	351000	34	814	38.7
"Austria"	1800	"europe"	3210000	34.4	1850	33.4
"Azerbaijan"	1800	"europe"	880000	29.2	775	70.5
"Bahamas"	1800	"americas"	27400	35.2	1440	40
"Bahrain"	1800	"asia"	64500	30.3	1240	40
"Bangladesh"	1800	"asia"	19200000	25.5	876	28
"Barbados"	1800	"americas"	81700	32.1	913	40
"Belarus"	1800	"europe"	2360000	36.2	608	55.6
"Belgium"	1800	"europe"	3140000	40	2410	41.7
"Belize"	1800	"americas"	25500	26.5	579	60.3
"Benin"	1800	"africa"	637000	31	597	40.7
"Bhutan"	1800	"asia"	90000	28.8	629	40.9
"Bolivia"	1800	"americas"	1100000	33	854	39.2
"Bosnia and Herzegovina"	1800	"europe"	852000	35.1	669	30
"Botswana"	1800	"africa"	121000	33.6	397	47
"Brazil"	1800	"americas"	3640000	32	1110	37.9
"Brunei"	1800	"asia"	2130	29.2	1510	40
"Bulgaria"	1800	"europe"	1990000	35.8	1090	38.9
"Burkina Faso"	1800	"africa"	1670000	29.2	480	38.1
"Burundi"	1800	"africa"	899000	31.5	418	35.1
"Cambodia"	1800	"asia"	2090000	35	903	42
"Cameroon"	1800	"africa"	1860000	28.8	626	41.9
"Canada"	1800	"americas"	646000	39	1310	44.8
"Cape Verde"	1800	"africa"	55700	33.8	529	52.5
"Central African Republic"	1800	"africa"	479000	30	424	57.6
"Chad"	1800	"africa"	1430000	30.9	418	28.2
"Chile"	1800	"americas"	771000	32	1030	48.4
"China"	1800	"asia"	322000000	32	984	37.1
"Colombia"	1800	"americas"	1210000	32	962	59.1
"Comoros"	1800	"africa"	56300	32.1	696	34.1
"Congo, Dem. Rep."	1800	"africa"	5160000	31.6	485	40.4
"Congo, Rep."	1800	"africa"	314000	32.7	575	56.4
"Costa Rica"	1800	"americas"	52000	30.2	775	42.1
"Cote d Ivoire"	1800	"africa"	1090000	31.2	812	40.3
"Croatia"	1800	"europe"	1230000	36.1	1080	16.3
"Cuba"	1800	"americas"	345000	32.2	864	40
"Cyprus"	1800	"europe"	184000	38.5	853	30.1
"Czech Republic"	1800	"europe"	5520000	35	1920	22.8
"Denmark"	1800	"europe"	1060000	37.4	2010	37.2
"Djibouti"	1800	"africa"	22800	29.9	752	36.5
"Dominican Republic"	1800	"americas"	89000	29.9	667	39.9
"Ecuador"	1800	"americas"	500000	32.9	529	41.9
"Egypt"	1800	"africa"	4240000	33	790	34
"El Salvador"	1800	"americas"	248000	28.7	974	41.2
"Equatorial Guinea"	1800	"africa"	80400	29.8	356	40
"Eritrea"	1800	"africa"	205000	30.2	532	40
"Estonia"	1800	"europe"	334000	36.1	938	47.8
"Ethiopia"	1800	"africa"	2950000	29.7	523	47.7
"Fiji"	1800	"asia"	131000	26.1	785	35.3
"Finland"	1800	"europe"	978000	36.6	1240	47.1
"France"	1800	"europe"	29400000	34	1800	73.3
"Gabon"	1800	"africa"	158000	30.6	390	46.3
"Gambia"	1800	"africa"	103000	28.8	813	39.6
"Georgia"	1800	"europe"	1070000	31.9	543	26.9
"Germany"	1800	"europe"	22900000	38.4	1640	50.8
"Ghana"	1800	"africa"	2020000	28	696	47
"Greece"	1800	"europe"	2150000	36.6	1370	51.6
"Grenada"	1800	"americas"	29400	31.4	959	40
"Guatemala"	1800	"americas"	459000	25.8	857	37.4
"Guinea"	1800	"africa"	984000	29.5	450	34.4
"Guinea-Bissau"	1800	"africa"	218000	32	777	49.5
"Guyana"	1800	"americas"	166000	31.1	1210	39.5
"Haiti"	1800	"americas"	723000	29	633	47.5
"Honduras"	1800	"americas"	126000	33.9	675	58.5
"Hungary"	1800	"europe"	3500000	36	1250	36.2
"Iceland"	1800	"europe"	61400	42.9	926	25.8
"India"	1800	"asia"	169000000	25.4	1050	32.1
"Indonesia"	1800	"asia"	16100000	30	994	40.8
"Iran"	1800	"asia"	6270000	25.6	976	59.2
"Iraq"	1800	"asia"	1080000	31.2	969	41.9
"Ireland"	1800	"europe"	4060000	38.3	1450	38.6
"Israel"	1800	"asia"	210000	32	879	34.7
"Italy"	1800	"europe"	18800000	29.7	2220	56.1
