wt	mpg	ln_mpg
3190	27.2	3.3032
1985	32.8	3.4904
3410	18.1	2.8959
4080	17.5	2.8622
3530	25.4	3.2347
1773	31.0	3.434
2670	27.4	3.3105
1755	39.1	3.6661
2188	34.3	3.5351
2155	30.0	3.4012
2640	27.0	3.2958
1875	39.0	3.6636
2100	27.0	3.2958
2556	33.5	3.5115
3415	22.4	3.1091
2587	21.0	3.0445
2220	25.0	3.2189
1975	37.0	3.6109
2670	28.4	3.3464
2300	25.5	3.2387
3693	15.0	2.7081
4464	14.0	2.6391
3221	20.0	2.9957
2635	26.6	3.2809
2635	31.6	3.4532
3436	18.0	2.8904
2408	20.0	2.9957
3420	23.9	3.1739
2046	25.0	3.2189
4129	14.0	2.6391
1980	36.0	3.5835
4082	15.0	2.7081
3781	16.0	2.7726
3645	18.5	2.9178
2950	27.0	3.2958
2865	24.0	3.1781
2265	32.2	3.472
2300	26.0	3.2581
4951	12.0	2.4849
2694	23.0	3.1355
1835	40.9	3.7111
3425	19.2	2.9549
3672	17.0	2.8332
3160	30.7	3.4243
2815	22.0	3.091
1990	32.0	3.4657
4699	13.0	2.5649
4732	9.0	2.1972
2391	26.0	3.2581
2800	27.9	3.3286
2702	24.0	3.1781
2372	24.0	3.1781
4425	14.0	2.6391
1968	38.1	3.6402
3150	20.0	2.9957
4215	17.5	2.8622
3820	16.5	2.8034
4077	14.0	2.6391
2795	21.6	3.0727
3288	18.0	2.8904
4140	15.5	2.7408
3613	18.0	2.8904
2572	25.0	3.2189
2045	34.4	3.5381
2160	36.0	3.5835
3840	17.0	2.8332
2110	46.6	3.8416
3445	17.7	2.8736
3139	18.0	2.8904
2451	26.0	3.2581
1945	33.5	3.5115
3730	15.0	2.7081
4190	16.0	2.7726
4952	12.0	2.4849
2130	44.0	3.7842
4042	14.0	2.6391
4615	10.0	2.3026
2219	29.0	3.3673
3381	19.1	2.9497
2254	23.0	3.1355
2065	32.3	3.4751
4165	15.5	2.7408
1955	26.0	3.2581
2930	24.2	3.1864
3459	18.0	2.8904
2965	20.2	3.0057
2420	23.7	3.1655
2575	31.0	3.434
3900	23.0	3.1355
3563	15.0	2.7081
2279	20.0	2.9957
2395	34.0	3.5264
1760	35.1	3.5582
4100	13.0	2.5649
4498	16.0	2.7726
3630	19.0	2.9444
3620	18.6	2.9232
2639	23.0	3.1355
2035	29.0	3.3673
3897	16.0	2.7726
2945	25.0	3.2189
2123	28.0	3.3322
3233	22.0	3.091
2933	18.0	2.8904
1985	34.1	3.5293
3012	24.0	3.1781
3121	18.0	2.8904
3060	20.2	3.0057
4360	16.9	2.8273
2379	22.0	3.091
1800	36.1	3.5863
2979	21.0	3.0445
3015	38.0	3.6376
4278	16.0	2.7726
2230	30.9	3.4308
2560	27.5	3.3142
2855	23.8	3.1697
2545	24.0	3.1781
4633	11.0	2.3979
2945	22.0	3.091
2380	29.9	3.3979
4209	14.0	2.6391
4257	14.0	2.6391
2875	21.0	3.0445
4746	13.0	2.5649
2905	23.6	3.1612
2385	30.0	3.4012
2126	25.0	3.2189
4060	17.0	2.8332
2246	26.0	3.2581
3365	19.9	2.9907
2310	19.0	2.9444
2205	36.0	3.5835
4735	13.0	2.5649
2408	22.0	3.091
4464	13.0	2.5649
4457	14.0	2.6391
2020	31.8	3.4595
4220	16.0	2.7726
4654	13.0	2.5649
4055	13.0	2.5649
4325	15.5	2.7408
2774	18.0	2.8904
2755	25.5	3.2387
3725	26.6	3.2809
2890	22.3	3.1046
2665	32.0	3.4657
1965	38.0	3.6376
2950	36.4	3.5946
2074	30.0	3.4012
4274	13.0	2.5649
2595	28.8	3.3604
2189	26.0	3.2581
1950	31.0	3.434
1825	29.5	3.3844
2130	37.3	3.619
3433	16.0	2.7726
2110	40.8	3.7087
3211	19.0	2.9444
3955	16.5	2.8034
2901	19.0	2.9444
4499	12.0	2.4849
4335	16.0	2.7726
2265	26.0	3.2581
2124	18.0	2.8904
1649	31.0	3.434
2375	25.0	3.2189
3210	19.4	2.9653
1990	31.5	3.45
3672	14.0	2.6391
2223	25.0	3.2189
2900	25.4	3.2347
2150	34.5	3.541
2660	24.0	3.1781
2401	21.0	3.0445
2215	34.7	3.5467
1963	26.0	3.2581
2330	19.0	2.9444
2164	24.5	3.1987
2264	28.0	3.3322
3570	20.2	3.0057
2125	38.0	3.6376
1970	31.0	3.434
1940	29.0	3.3673
2245	34.0	3.5264
2295	32.0	3.4657
4638	14.0	2.6391
2807	20.0	2.9957
2565	26.5	3.2771
2945	18.0	2.8904
3735	19.4	2.9653
1950	26.0	3.2581
2075	33.5	3.5115
3282	19.0	2.9444
1867	29.0	3.3673
2120	32.1	3.4689
3035	23.0	3.1355
1925	31.9	3.4626
1975	34.1	3.5293
4422	13.0	2.5649
2085	44.3	3.791
2489	24.0	3.1781
2045	31.5	3.45
2671	25.0	3.2189
3520	17.5	2.8622
2957	23.0	3.1355
4997	11.0	2.3979
2155	28.0	3.3322
2542	31.3	3.4436
2789	18.0	2.8904
1985	43.1	3.7635
2070	39.4	3.6738
4054	15.5	2.7408
2335	43.4	3.7705
2990	19.8	2.9857
4294	13.0	2.5649
3360	20.6	3.0253
2190	30.5	3.4177
3535	19.2	2.9549
2265	26.0	3.2581
2395	22.0	3.091
2350	32.4	3.4782
3425	20.5	3.0204
4385	14.0	2.6391
3278	16.0	2.7726
2226	21.0	3.0445
2914	20.0	2.9957
2171	29.0	3.3673
3725	17.6	2.8679
1836	32.0	3.4657
2051	30.5	3.4177
1800	36.1	3.5863
2025	37.0	3.6109
3439	16.0	2.7726
3761	15.0	2.7081
4456	12.0	2.4849
1613	35.0	3.5553
3940	18.5	2.9178
3574	18.0	2.8904
3039	21.0	3.0445
4295	15.0	2.7081
1834	27.0	3.2958
2434	37.0	3.6109
2405	23.9	3.1739
1915	35.7	3.5752
2634	19.0	2.9444
2125	28.0	3.3322
3777	15.0	2.7081
2678	28.0	3.3322
4376	10.0	2.3026
3940	13.0	2.5649
4312	14.0	2.6391
2190	33.0	3.4965
2868	19.0	2.9444
3353	22.0	3.091
2870	26.4	3.2734
5140	13.0	2.5649
4382	11.0	2.3979
2620	25.8	3.2504
2506	23.0	3.1355
3850	15.0	2.7081
1825	36.0	3.5835
2720	25.1	3.2229
2472	21.0	3.0445
2625	28.0	3.3322
2320	34.5	3.541
3102	20.0	2.9957
3664	11.0	2.3979
2735	27.0	3.2958
1995	38.0	3.6376
2745	23.2	3.1442
2202	27.0	3.2958
3169	13.0	2.5649
2725	23.5	3.157
1850	44.6	3.7977
2700	26.8	3.2884
4657	14.0	2.6391
1937	29.0	3.3673
2830	20.3	3.0106
4154	14.0	2.6391
3880	17.5	2.8622
3907	17.0	2.8332
2130	27.0	3.2958
3264	19.0	2.9444
2050	37.7	3.6297
3336	15.0	2.7081
3432	15.0	2.7081
3140	17.0	2.8332
3158	15.0	2.7081
2464	28.0	3.3322
4668	16.0	2.7726
2833	22.0	3.091
3410	16.2	2.785
3302	19.0	2.9444
4215	14.5	2.6741
2592	23.0	3.1355
4237	14.0	2.6391
2135	29.5	3.3844
3155	20.5	3.0204
2145	33.8	3.5205
3086	14.0	2.6391
3785	18.0	2.8904
3651	20.0	2.9957
3870	13.0	2.5649
2582	20.0	2.9957
2930	19.0	2.9444
4906	12.0	2.4849
2255	26.0	3.2581
2144	41.5	3.7257
3988	13.0	2.5649
2511	22.0	3.091
2228	25.0	3.2189
4098	13.0	2.5649
3193	17.5	2.8622
2130	27.0	3.2958
2430	24.0	3.1781
3830	18.2	2.9014
2600	21.5	3.0681
3329	17.0	2.8332
1835	26.0	3.2581
4955	12.0	2.4849
2672	25.0	3.2189
2125	36.0	3.5835
1965	32.0	3.4657
3270	19.0	2.9444
3430	20.5	3.0204
3449	17.0	2.8332
3245	21.5	3.0681
3821	13.0	2.5649
2962	18.0	2.8904
3230	28.1	3.3358
2720	31.0	3.434
2200	34.2	3.5322
2234	26.0	3.2581
3525	18.5	2.9178
2164	28.0	3.3322
4341	15.0	2.7081
4354	14.0	2.6391
4380	16.5	2.8034
2370	36.0	3.5835
2000	31.0	3.434
1795	33.0	3.4965
1985	30.0	3.4012
2288	28.0	3.3322
3205	18.1	2.8959
1795	33.0	3.4965
3632	16.0	2.7726
2490	27.2	3.3032
2711	29.8	3.3945
3465	17.6	2.8679
2984	18.0	2.8904
2542	25.0	3.2189
3399	15.0	2.7081
3250	30.0	3.4012
2065	30.0	3.4012
2615	32.9	3.4935
2515	21.1	3.0493
3755	13.0	2.5649
2220	23.0	3.1355
3265	20.2	3.0057
3085	22.5	3.1135
1937	29.0	3.3673
2910	32.7	3.4874
3962	15.5	2.7408
4135	15.0	2.7081
3605	19.2	2.9549
2585	26.0	3.2581
4141	16.0	2.7726
2278	24.0	3.1781
2003	32.0	3.4657
2300	27.2	3.3032
3380	20.6	3.0253
3070	20.8	3.035
3609	14.0	2.6391
3892	15.0	2.7081
3021	18.0	2.8904
2605	28.0	3.3322
4440	15.0	2.7081
2648	21.0	3.0445
4363	13.0	2.5649
2525	29.0	3.3673
2904	23.0	3.1355
2108	24.0	3.1781
2500	35.0	3.5553
2155	30.0	3.4012
4096	14.0	2.6391
3003	24.3	3.1905
4502	13.0	2.5649
2158	24.0	3.1781
2019	37.2	3.6163
2720	21.5	3.0681
2210	33.7	3.5175
1845	29.8	3.3945
2835	22.0	3.091
2790	27.0	3.2958
2740	24.5	3.1987
3504	18.0	2.8904
2290	32.4	3.4782
